0 0  0.47 0.3
0.0164 0.0026  0.49 0.3
0.0332 0.0048  0.5 0.31
0.0500 0.0072  0.52 0.31
0.0667 0.0113  0.54 0.31
0.0833 0.0133  0.55 0.32
0.1000 0.0162  0.57 0.32
0.1166 0.0203  0.59 0.32
0.1333 0.0219  0.6 0.32
0.1500 0.0283  0.62 0.33
0.1666 0.0333  0.64 0.34
0.1834 0.0441  0.65 0.35
0.2000 0.0645  0.67 0.37
0.2167 0.0905  0.69 0.39
0.2333 0.1228  0.7 0.42
0.2500 0.1603  0.72 0.46
0.2666 0.2061  0.74 0.51
0.2833 0.2534  0.75 0.56
0.2999 0.3028  0.77 0.6
0.3167 0.3549  0.79 0.66
0.3333 0.4055  0.8 0.71
0.3500 0.4581  0.82 0.76
0.3667 0.5091  0.84 0.81
0.3833 0.5609  0.85 0.86
0.4000 0.6136  0.87 0.92
0.4166 0.6649  0.89 0.97
0.4333 0.7188  0.9 1.02
0.4500 0.7721  0.92 1.07
0.4667 0.8260  0.94 1.13
0.4834 0.8803  0.95 1.18
0.5000 0.9354  0.97 1.24
0.5167 0.9905  0.99 1.29
0.5333 1.0456  1 1.35
0.5500 1.1015  1.02 1.4
0.5666 1.1576  1.04 1.46
0.5834 1.2159  1.05 1.52
0.6000 1.2748  1.07 1.58
0.6166 1.3342  1.09 1.64
0.6333 1.3971  1.1 1.7
0.6500 1.4593  1.12 1.76
0.6666 1.5256  1.14 1.83
0.6833 1.5920  1.15 1.89
0.7000 1.6612  1.17 1.96
0.7166 1.7317  1.19 2.03
0.7334 1.8032  1.2 2.1
0.7500 1.8773  1.22 2.18
0.7667 1.9546  1.24 2.26
0.7834 2.0328  1.25 2.33
0.8000 2.1128  1.27 2.41
0.8166 2.1950  1.29 2.5
0.8333 2.2781  1.3 2.58
0.8500 2.3633  1.32 2.66
0.8667 2.4480  1.34 2.75
0.8834 2.5333  1.35 2.83
0.9000 2.6212  1.37 2.92
0.9166 2.7107  1.39 3.01
0.9333 2.8026  1.4 3.1
0.9500 2.8997  1.42 3.2
0.9666 2.9969  1.44 3.3
0.9833 3.0998  1.45 3.4
1.0000 3.2067  1.47 3.51
1.0167 3.3139  1.49 3.62
1.0334 3.4232  1.5 3.72
1.0500 3.5333  1.52 3.83
1.0666 3.6446  1.54 3.95
1.0833 3.7599  1.55 4.06
1.1000 3.8784  1.57 4.18
1.1166 3.9986  1.59 4.3
1.1334 4.1216  1.6 4.42
1.1500 4.2435  1.62 4.55
1.1667 4.3675  1.64 4.67
1.1833 4.4937  1.65 4.8
1.2000 4.6186  1.67 4.92
1.2166 4.7467  1.69 5.05
1.2334 4.8751  1.7 5.18
1.2500 5.0048  1.72 5.31
1.2667 5.1393  1.74 5.44
1.2833 5.2720  1.75 5.57
1.3000 5.4064  1.77 5.71
1.3166 5.5419  1.79 5.84
1.3333 5.6769  1.8 5.98
1.3499 5.8134  1.82 6.12
1.3667 5.9493  1.84 6.25
1.3833 6.0859  1.85 6.39
1.4000 6.2263  1.87 6.53
1.4166 6.3653  1.89 6.67
1.4334 6.5082  1.9 6.81
1.4500 6.6527  1.92 6.95
1.4666 6.7970  1.94 7.1
1.4833 6.9434  1.95 7.25
1.5000 7.0941  1.97 7.4
1.5166 7.2451  1.99 7.55
1.5334 7.4006  2 7.7
1.5500 7.5593  2.02 7.86
1.5667 7.7215  2.04 8.02
1.5833 7.8877  2.05 8.19
1.6000 8.0584  2.07 8.36
1.6166 8.2312  2.09 8.53
1.6333 8.4115  2.1 8.71
1.6499 8.5887  2.12 8.89
1.6667 8.7771  2.14 9.08
1.6833 8.9675  2.15 9.27
1.7000 9.1588  2.17 9.46
1.7166 9.3549  2.19 9.66
1.7334 9.5480  2.2 9.85
1.7500 9.7440  2.22 10.05
1.7666 9.9475  2.24 10.25
1.7833 10.1557  2.25 10.46
1.8000 10.3709  2.27 10.67
1.8167 10.5852  2.29 10.89
1.8334 10.8007  2.3 11.1
1.8500 11.0179  2.32 11.32
1.8667 11.2349  2.34 11.54
1.8833 11.4383  2.35 11.74
1.9000 11.6399  2.37 11.94
1.9166 11.8130  2.39 12.11
1.9333 12.0157  2.4 12.32
1.9500 12.2297  2.42 12.53
1.9667 12.4402  2.44 12.74
1.9833 12.6510  2.45 12.95
2.0000 12.8796  2.47 13.18
2.0166 13.0873  2.49 13.39
2.0333 13.2202  2.5 13.52
2.0500 13.4240  2.52 13.73
2.0667 13.6331  2.54 13.93
2.0834 13.8679  2.55 14.17
2.1000 14.0796  2.57 14.38
2.1163 14.3297  2.59 14.63
2.1315 14.5801  2.6 14.88
2.1458 14.8306  2.61 15.13
2.1594 15.0812  2.63 15.38
2.1725 15.3317  2.64 15.63
2.1854 15.5823  2.65 15.88
2.1976 15.8325  2.67 16.13
2.2097 16.0830  2.68 16.38
2.2216 16.3333  2.69 16.64
2.2337 16.5840  2.7 16.89
2.2456 16.8340  2.71 17.14
2.2571 17.0845  2.73 17.39
2.2687 17.3350  2.74 17.64
2.2814 17.5855  2.75 17.89
2.2947 17.8358  2.76 18.14
2.3072 18.0861  2.78 18.39
2.3193 18.3361  2.79 18.64
2.3318 18.5868  2.8 18.89
2.3439 18.8374  2.81 19.14
2.3577 19.0875  2.83 19.39
2.3717 19.3377  2.84 19.64
2.3819 19.0680  2.85 19.37
2.3822 18.8101  2.85 19.11
2.3825 18.5418  2.85 18.84
2.3832 18.2840  2.85 18.59
